LSOA,Av PTAI,Av PTAL
E01001072,0.0939535,1a
E01004117,0.203936,1a
E01002438,0.234229,1a
E01002391,0.255038,1a
E01000720,0.283715,1a
E01002296,0.383079,1a
E01002430,0.393149,1a
E01002561,0.410665,1a
E01000254,0.416939,1a
E01000748,0.431242,1a
E01002454,0.484808,1a
E01002344,0.502387,1a
E01000749,0.513225,1a
E01000680,0.530515,1a
E01004114,0.553586,1a
E01001412,0.557552,1a
E01002385,0.568917,1a
E01000619,0.573168,1a
E01002147,0.591004,1a
E01002190,0.642258,1a
E01002304,0.652605,1a
E01000383,0.669651,1a
E01002259,0.679123,1a
E01004108,0.70135,1a
E01002441,0.703808,1a
E01002348,0.72249,1a
E01000654,0.758001,1a
E01003790,0.767954,1a
E01002305,0.780234,1a
E01002533,0.780806,1a
E01000228,0.784351,1a
E01002276,0.797413,1a
E01003806,0.814707,1a
E01002146,0.824964,1a
E01000656,0.826279,1a
E01003640,0.862879,1a
E01000689,0.863117,1a
E01002389,0.886875,1a
E01000728,0.890819,1a
E01002473,0.916384,1a
E01001417,0.934306,1a
E01000747,0.953159,1a
E01002461,0.958569,1a
E01004576,0.959055,1a
E01000188,0.965307,1a
E01001017,0.969248,1a
E01004395,0.993123,1a
E01002334,1.01251,1a
E01003817,1.02615,1a
E01002324,1.03581,1a
E01003460,1.04188,1a
E01001422,1.04849,1a
E01002520,1.06314,1a
E01001131,1.06575,1a
E01000430,1.08352,1a
E01001320,1.09872,1a
E01001483,1.10342,1a
E01002330,1.10655,1a
E01000759,1.10754,1a
E01002131,1.12776,1a
E01002442,1.13302,1a
E01002678,1.13386,1a
E01003805,1.14655,1a
E01000750,1.15846,1a
E01001021,1.16252,1a
E01001121,1.16802,1a
E01003580,1.1796,1a
E01001407,1.19832,1a
E01002440,1.20506,1a
E01002271,1.23927,1a
E01000253,1.24772,1a
E01003726,1.26168,1a
E01001404,1.31026,1a
E01000381,1.31257,1a
E01001326,1.32225,1a
E01002394,1.33455,1a
E01001101,1.34087,1a
E01001325,1.35507,1a
E01033151,1.38765,1a
E01002268,1.38906,1a
E01003907,1.4112,1a
E01002507,1.41808,1a
E01002252,1.41839,1a
E01002601,1.42685,1a
E01000688,1.44143,1a
E01001104,1.44393,1a
E01000290,1.44564,1a
E01001105,1.45896,1a
E01002114,1.45969,1a
E01002144,1.4628,1a
E01002494,1.48172,1a
E01000279,1.48834,1a
E01000466,1.49425,1a
E01002286,1.50373,1a
E01001335,1.51441,1a
E01000195,1.52346,1a
E01002948,1.52832,1a
E01003664,1.53461,1a
E01003878,1.53707,1a
E01004085,1.54367,1a
E01002155,1.54969,1a
E01003837,1.55996,1a
E01001339,1.56025,1a
E01001070,1.57586,1a
E01002986,1.5822,1a
E01003901,1.58233,1a
E01000377,1.58915,1a
E01000056,1.59312,1a
E01003816,1.59986,1a
E01002550,1.61611,1a
E01003819,1.61881,1a
E01001071,1.62949,1a
E01000259,1.63319,1a
E01001410,1.63581,1a
E01001022,1.64032,1a
E01002559,1.65861,1a
E01000659,1.65987,1a
E01000839,1.67034,1a
E01003703,1.67336,1a
E01001365,1.68039,1a
E01000655,1.6826,1a
E01000391,1.68355,1a
E01002387,1.68618,1a
E01004193,1.68839,1a
E01000444,1.69649,1a
E01002277,1.70163,1a
E01004095,1.70257,1a
E01000664,1.70713,1a
E01000991,1.70826,1a
E01002225,1.72408,1a
E01000167,1.72536,1a
E01002458,1.73904,1a
E01000255,1.74429,1a
E01002588,1.7575,1a
E01002544,1.76144,1a
E01002527,1.76441,1a
E01002596,1.77951,1a
E01001437,1.78074,1a
E01000262,1.7849,1a
E01002962,1.80144,1a
E01002269,1.8127,1a
E01002253,1.81467,1a
E01002610,1.81571,1a
E01002480,1.82017,1a
E01002519,1.83075,1a
E01000624,1.83914,1a
E01003826,1.84062,1a
E01000184,1.84585,1a
E01000818,1.84931,1a
E01002347,1.86711,1a
E01002416,1.89451,1a
E01001066,1.90729,1a
E01000189,1.9129,1a
E01000695,1.94197,1a
E01002255,1.9534,1a
E01001106,1.95469,1a
E01000519,1.95938,1a
E01033148,1.96673,1a
E01003889,1.96902,1a
E01000751,1.97251,1a
E01000039,1.97422,1a
E01002516,1.98478,1a
E01002462,1.9923,1a
E01003419,1.99398,1a
E01002250,2.00289,1a
E01001094,2.00342,1a
E01000658,2.01307,1a
E01001028,2.0163,1a
E01000724,2.0258,1a
E01001477,2.02694,1a
E01000522,2.02736,1a
E01001067,2.02872,1a
E01002241,2.03168,1a
E01001123,2.03347,1a
E01000374,2.04599,1a
E01002311,2.04863,1a
E01001103,2.0585,1a
E01001018,2.06156,1a
E01003691,2.06177,1a
E01001649,2.06582,1a
E01002486,2.08253,1a
E01000425,2.08548,1a
E01003818,2.09932,1a
E01002602,2.11054,1a
E01002388,2.11169,1a
E01001265,2.12412,1a
E01002918,2.12649,1a
E01001413,2.13361,1a
E01000241,2.13878,1a
E01002572,2.14012,1a
E01000229,2.14661,1a
E01004456,2.14911,1a
E01032623,2.15046,1a
E01001108,2.15506,1a
E01000486,2.15511,1a
E01002273,2.15966,1a
E01001027,2.16432,1a
E01001470,2.17349,1a
E01002953,2.18109,1a
E01000376,2.18199,1a
E01000721,2.19988,1a
E01003763,2.20581,1a
E01002263,2.21102,1a
E01001060,2.2128,1a
E01003625,2.22575,1a
E01003000,2.23641,1a
E01002943,2.24314,1a
E01002459,2.24351,1a
E01002374,2.24582,1a
E01003656,2.24999,1a
E01000092,2.25548,1a
E01002260,2.2847,1a
E01000666,2.2853,1a
E01000826,2.28541,1a
E01000752,2.28707,1a
E01002453,2.29014,1a
E01000107,2.29228,1a
E01002617,2.29426,1a
E01002229,2.2965,1a
E01000153,2.30541,1a
E01000240,2.31736,1a
E01000246,2.31966,1a
E01000037,2.32299,1a
E01002976,2.32462,1a
E01003462,2.32568,1a
E01002337,2.33261,1a
E01002538,2.3409,1a
E01002627,2.35431,1a
E01002439,2.36194,1a
E01000761,2.37075,1a
E01002421,2.37127,1a
E01000368,2.37969,1a
E01003732,2.40818,1a
E01002434,2.41283,1a
E01000249,2.41705,1a
E01000753,2.41898,1a
E01000094,2.43072,1a
E01002450,2.43441,1a
E01002952,2.43459,1a
E01000765,2.44571,1a
E01004109,2.45289,1a
E01002917,2.45604,1a
E01000538,2.46154,1a
E01002265,2.46313,1a
E01003745,2.46468,1a
E01001538,2.47304,1a
E01002924,2.48301,1a
E01000371,2.48637,1a
E01000434,2.49043,1a
E01001107,2.49373,1a
E01004349,2.49716,1a
E01002339,2.49801,1a
E01000786,2.49962,1a
E01000340,2.49991,1a
E01002113,2.50415,1b
E01002370,2.50562,1b
E01002992,2.5065,1b
E01000260,2.51402,1b
E01001497,2.5145,1b
E01000029,2.51489,1b
E01004450,2.53199,1b
E01002560,2.53643,1b
E01002545,2.53793,1b
E01004399,2.53812,1b
E01001124,2.53918,1b
E01002479,2.5427,1b
E01002603,2.54991,1b
E01001340,2.55303,1b
E01003680,2.55344,1b
E01002230,2.5576,1b
E01001427,2.55877,1b
E01000662,2.56115,1b
E01002436,2.56413,1b
E01003708,2.56442,1b
E01001523,2.56999,1b
E01004106,2.57597,1b
E01000734,2.60326,1b
E01000693,2.60559,1b
E01000460,2.60717,1b
E01003463,2.60966,1b
E01002308,2.61429,1b
E01032577,2.61994,1b
E01001307,2.62608,1b
E01004730,2.62955,1b
E01002428,2.63007,1b
E01000206,2.6326,1b
E01001032,2.63699,1b
E01002246,2.6384,1b
E01002474,2.64043,1b
E01000328,2.6526,1b
E01002920,2.66006,1b
E01003539,2.6688,1b
