Code,Area,median,mean
E02000001,City of London 001,835000,950760
E02000002,Barking and Dagenham 001,313750,296691
E02000003,Barking and Dagenham 002,330000,320546
E02000004,Barking and Dagenham 003,340000,333292
E02000005,Barking and Dagenham 004,315500,323039
E02000007,Barking and Dagenham 006,300000,295579
E02000008,Barking and Dagenham 007,295000,286441
E02000009,Barking and Dagenham 008,298000,285981
E02000010,Barking and Dagenham 009,300000,289337
E02000011,Barking and Dagenham 010,327000,308081
E02000012,Barking and Dagenham 011,430000,407529
E02000013,Barking and Dagenham 012,301250,305405
E02000014,Barking and Dagenham 013,290000,280545
E02000015,Barking and Dagenham 014,272500,262508
E02000016,Barking and Dagenham 015,228559,226536
E02000017,Barking and Dagenham 016,375000,348509
E02000018,Barking and Dagenham 017,302000,313259
E02000019,Barking and Dagenham 018,300000,291721
E02000020,Barking and Dagenham 019,299995,296002
E02000021,Barking and Dagenham 020,290000,280707
E02000022,Barking and Dagenham 021,238750,235028
E02000023,Barking and Dagenham 022,230000,263846
E02006799,Barking and Dagenham 023,310000,306067
E02000024,Barnet 001,550000,605879
E02000025,Barnet 002,410000,479642
E02000026,Barnet 003,610000,578903
E02000027,Barnet 004,480000,473710
E02000028,Barnet 005,475000,564232
E02000029,Barnet 006,475000,484909
E02000030,Barnet 007,871250,1139461
E02000031,Barnet 008,540000,666267
E02000032,Barnet 009,650000,677451
E02000033,Barnet 010,510000,488188
E02000034,Barnet 011,490000,551143
E02000035,Barnet 012,542500,619466
E02000036,Barnet 013,500000,544596
E02000037,Barnet 014,616500,619571
E02000038,Barnet 015,573500,541677
E02000039,Barnet 016,900000,1072362
E02000040,Barnet 017,599995,728667
E02000041,Barnet 018,532500,541679
E02000042,Barnet 019,450000,505314
E02000043,Barnet 020,772500,751999
E02000044,Barnet 021,410000,489154
E02000045,Barnet 022,415000,465225
E02000046,Barnet 023,610000,695481
E02000047,Barnet 024,365000,374556
E02000048,Barnet 025,599000,697094
E02000049,Barnet 026,377500,385216
E02000050,Barnet 027,451750,530662
E02000051,Barnet 028,575000,691608
E02000052,Barnet 029,590000,655095
E02000053,Barnet 030,427750,440912
E02000054,Barnet 031,596000,613465
E02000055,Barnet 032,493195,628930
E02000056,Barnet 033,1420000,2210884
E02000057,Barnet 034,665500,737165
E02000058,Barnet 035,810000,890055
E02000059,Barnet 036,425000,415767
E02000060,Barnet 037,850000,960713
E02000061,Barnet 038,900000,1148588
E02000062,Barnet 039,500000,484193
E02000063,Barnet 040,570000,533989
E02000064,Barnet 041,564500,765528
E02000065,Bexley 001,285000,272256
E02000066,Bexley 002,300000,290268
E02000067,Bexley 003,262000,271313
E02000068,Bexley 004,235000,241744
E02000069,Bexley 005,272995,281406
E02000070,Bexley 006,372250,374759
E02000071,Bexley 007,320000,328389
E02000072,Bexley 008,273950,263569
E02000073,Bexley 009,415000,417375
E02000074,Bexley 010,285000,276457
E02000075,Bexley 011,415000,417047
E02000077,Bexley 013,390000,373782
E02000078,Bexley 014,316500,332921
E02000079,Bexley 015,353500,362609
E02000080,Bexley 016,375000,375831
E02000081,Bexley 017,332500,334175
E02000082,Bexley 018,375000,393395
E02000083,Bexley 019,300000,308461
E02000084,Bexley 020,428500,452117
E02000085,Bexley 021,340000,377365
E02000086,Bexley 022,395000,420926
E02000087,Bexley 023,445000,493468
E02000088,Bexley 024,422000,435846
E02000089,Bexley 025,470000,473603
E02000090,Bexley 026,338750,377481
E02000091,Bexley 027,349950,343505
E02000092,Bexley 028,306250,326594
E02006785,Bexley 029,355000,350016
E02000093,Brent 001,496500,479426
E02000094,Brent 002,440000,429212
E02000095,Brent 003,520000,486435
E02000096,Brent 004,730000,638474
E02000097,Brent 005,462500,465984
E02000098,Brent 006,610000,564497
E02000099,Brent 007,505000,449782
E02000100,Brent 008,677500,764053
E02000101,Brent 009,375000,480145
E02000102,Brent 010,380000,375026
E02000103,Brent 011,392500,434676
E02000104,Brent 012,425000,429814
E02000105,Brent 013,299000,352410
E02000106,Brent 014,540000,544457
E02000107,Brent 015,500000,682901
E02000108,Brent 016,400000,420833
E02000109,Brent 017,429000,449342
E02000110,Brent 018,775000,795662
E02000111,Brent 019,395000,419985
E02000112,Brent 020,375500,391458
E02000113,Brent 021,266000,319721
E02000114,Brent 022,507500,536973
E02000115,Brent 023,531000,669545
E02000116,Brent 024,447500,460355
E02000117,Brent 025,402500,403951
E02000118,Brent 026,410000,384748
E02000119,Brent 027,446000,439687
E02000120,Brent 028,592475,711733
E02000121,Brent 029,335000,364075
E02000122,Brent 030,1017500,1294546
E02000123,Brent 031,502500,554305
E02000124,Brent 032,825000,1176348
E02000125,Brent 033,905035,902411
E02000126,Brent 034,600000,640842
E02000127,Bromley 001,330250,372541
E02000128,Bromley 002,465000,499374
E02000130,Bromley 004,480000,535944
E02000131,Bromley 005,370000,404974
E02000132,Bromley 006,399995,461244
E02000133,Bromley 007,697500,754109
E02000134,Bromley 008,369998,406115
E02000135,Bromley 009,332750,366964
E02000136,Bromley 010,515000,608673
E02000137,Bromley 011,400000,500389
E02000138,Bromley 012,439500,513839
E02000139,Bromley 013,445000,487963
E02000140,Bromley 014,325000,319740
E02000141,Bromley 015,390000,412536
E02000142,Bromley 016,553000,629090
E02000144,Bromley 018,430000,476106
E02000145,Bromley 019,305500,296866
E02000146,Bromley 020,420500,427214
E02000147,Bromley 021,766250,750944
E02000148,Bromley 022,645000,700532
E02000149,Bromley 023,337250,386105
E02000150,Bromley 024,530000,584400
E02000151,Bromley 025,585000,620219
E02000152,Bromley 026,410000,418441
E02000153,Bromley 027,582500,565661
E02000154,Bromley 028,365000,421566
E02000155,Bromley 029,362000,367217
E02000156,Bromley 030,560000,553275
E02000157,Bromley 031,575000,555401
E02000158,Bromley 032,455000,475633
E02000159,Bromley 033,650000,876194
E02000160,Bromley 034,540000,561542
E02000161,Bromley 035,477500,479121
E02000162,Bromley 036,438000,445784
E02000163,Bromley 037,515000,618879
E02000165,Bromley 039,367500,372818
E02006782,Bromley 040,471500,510426
E02006787,Bromley 041,580000,556306
E02006789,Bromley 042,453000,505776
E02000166,Camden 001,725000,1297421
E02000167,Camden 002,1287500,1783799
E02000168,Camden 003,775000,1028588
E02000169,Camden 004,1468750,2469451
E02000170,Camden 005,767500,858016
E02000171,Camden 006,740000,1006711
E02000172,Camden 007,587500,706419
E02000173,Camden 008,1282500,1866335
E02000174,Camden 009,555000,720145
E02000175,Camden 010,750000,751308
E02000176,Camden 011,1010000,1256117
E02000177,Camden 012,685000,1066592
E02000178,Camden 013,555000,607480
E02000179,Camden 014,925000,1143549
E02000180,Camden 015,710000,759817
E02000181,Camden 016,775000,909663
E02000182,Camden 017,842500,1292376
E02000183,Camden 018,1100000,1751336
E02000184,Camden 019,522500,631269
E02000185,Camden 020,500000,687372
E02000186,Camden 021,685000,1476799
E02000187,Camden 022,955500,1048636
E02000188,Camden 023,510500,562844
E02000189,Camden 024,1078068,1039230
E02000190,Camden 025,575000,668828
E02000191,Camden 026,670000,1093178
E02000192,Camden 027,823500,909400
E02000193,Camden 028,790000,1069169
E02000194,Croydon 001,420500,476318
E02000195,Croydon 002,476000,498924
E02000196,Croydon 003,430000,441834
E02000197,Croydon 004,392500,399568
E02000198,Croydon 005,335000,326098
E02000199,Croydon 006,365000,372269
E02000200,Croydon 007,320000,345775
E02000201,Croydon 008,286750,308709
E02000202,Croydon 009,365000,369526
E02000203,Croydon 010,317500,318117
E02000204,Croydon 011,368500,355356
E02000206,Croydon 013,312500,313088
E02000207,Croydon 014,330000,329710
E02000208,Croydon 015,294998,288072
E02000209,Croydon 016,330000,316485
E02000210,Croydon 017,374995,359670
E02000211,Croydon 018,411250,414980
E02000212,Croydon 019,332500,308887
E02000213,Croydon 020,275000,285928
E02000214,Croydon 021,450000,453634
E02000215,Croydon 022,356960,363241
E02000216,Croydon 023,425000,491128
E02000217,Croydon 024,301000,294449
E02000218,Croydon 025,530000,495968
E02000219,Croydon 026,488000,484018
E02000220,Croydon 027,329000,350200
E02000221,Croydon 028,343000,344183
E02000222,Croydon 029,350000,401234
E02000223,Croydon 030,285000,292840
E02000224,Croydon 031,355000,374488
E02000225,Croydon 032,323000,321640
E02000226,Croydon 033,480000,495780
E02000227,Croydon 034,320000,320354
E02000228,Croydon 035,625000,620609
E02000229,Croydon 036,323500,319077
E02000230,Croydon 037,425000,448459
E02000231,Croydon 038,685000,747820
E02000232,Croydon 039,495000,525476
E02000233,Croydon 040,422888,424061
E02000234,Croydon 041,418500,428264
E02000235,Croydon 042,445000,522605
E02000236,Croydon 043,534995,512446
E02000237,Croydon 044,430250,441360
E02006788,Croydon 045,392750,391997
E02000238,Ealing 001,423000,391309
E02000239,Ealing 002,460500,430811
E02000240,Ealing 003,390000,374889
E02000241,Ealing 004,424000,406332
E02000242,Ealing 005,481240,463240
E02000243,Ealing 006,470000,431715
E02000244,Ealing 007,435000,405479
E02000245,Ealing 008,287500,296655
E02000246,Ealing 009,372500,357306
E02000247,Ealing 010,302500,326202
E02000248,Ealing 011,497500,525188
E02000249,Ealing 012,453500,407082
E02000250,Ealing 013,797500,801696
E02000251,Ealing 014,416250,425677
E02000252,Ealing 015,377000,423476
E02000253,Ealing 016,460000,473810
E02000254,Ealing 017,391750,406643
E02000255,Ealing 018,737500,717608
E02000256,Ealing 019,615000,792869
E02000257,Ealing 020,649999,803802
E02000258,Ealing 021,590000,622076
E02000259,Ealing 022,583750,590606
E02000260,Ealing 023,297500,313542
E02000261,Ealing 024,527000,681830
E02000262,Ealing 025,512500,602414
E02000263,Ealing 026,390000,346594
E02000264,Ealing 027,591500,758475
E02000265,Ealing 028,530500,561111
E02000266,Ealing 029,399950,411555
E02000267,Ealing 030,521000,528266
E02000268,Ealing 031,626000,796107
E02000269,Ealing 032,795000,842387
E02000270,Ealing 033,590000,580287
E02000271,Ealing 034,950000,1031259
E02000272,Ealing 035,775000,707269
E02000274,Ealing 037,351000,339386
E02000275,Ealing 038,440000,508767
E02000276,Ealing 039,540000,591881
E02006791,Ealing 040,600000,724996
E02000277,Enfield 001,367500,358679
E02000278,Enfield 002,343500,311749
E02000279,Enfield 003,266000,289544
E02000280,Enfield 004,454000,474892
E02000281,Enfield 005,360000,375264
E02000282,Enfield 006,337500,321281
E02000283,Enfield 007,354000,344351
E02000284,Enfield 008,465000,439899
E02000285,Enfield 009,512500,488601
E02000286,Enfield 010,365950,443779
E02000287,Enfield 011,535000,662484
E02000288,Enfield 012,350000,322066
E02000289,Enfield 013,685000,660405
