,lsoa_code,lsoa,borough_code,msoa,area,borough,imd,ptai,ptal,imd_sc,ptai_sc,cluster
0,E01000001,City of London 001A,E09000001,E02000001, Inner West,City of London,6.2,51.1698,6b,-1.1181102362204725,2.8906523532470643,5
1,E01000002,City of London 001B,E09000001,E02000001, Inner West,City of London,5.1,50.5712,6b,-1.204724409448819,2.849909202534161,5
2,E01000003,City of London 001C,E09000001,E02000001, Inner West,City of London,19.4,28.4376,6a,-0.07874015748031496,1.3434063615399905,3
3,E01000005,City of London 001E,E09000001,E02000001, Inner West,City of London,28.7,71.3226,6b,0.50920245398773,4.262333889643643,5
4,E01032739,City of London 001F,E09000001,E02000001, Inner West,City of London,13.6,82.3987,6b,-0.5354330708661417,5.01621830596704,5
5,E01032740,City of London 001G,E09000001,E02000001, Inner West,City of London,15.8,55.0954,6b,-0.3622047244094487,3.157844656017816,5
6,E01000006,Barking and Dagenham 016A,E09000002,E02000017, Outer East and North East,Barking and Dagenham,19.8,20.6621,5,-0.04724409448818881,0.8141742058965262,3
7,E01000007,Barking and Dagenham 015A,E09000002,E02000016, Outer East and North East,Barking and Dagenham,31.6,29.294,6a,0.6871165644171779,1.4016964288145146,3
8,E01000008,Barking and Dagenham 015B,E09000002,E02000016, Outer East and North East,Barking and Dagenham,37.6,6.02463,2,1.0552147239263803,-0.4936614926360101,6
9,E01000009,Barking and Dagenham 016B,E09000002,E02000017, Outer East and North East,Barking and Dagenham,32.8,35.4472,6a,0.7607361963190181,1.820508248003681,3
10,E01000010,Barking and Dagenham 015C,E09000002,E02000016, Outer East and North East,Barking and Dagenham,32.4,31.4777,6a,0.7361963190184048,1.5503279326764694,3
11,E01000011,Barking and Dagenham 016C,E09000002,E02000017, Outer East and North East,Barking and Dagenham,30.7,29.1845,6a,0.6319018404907975,1.3942434134402029,3
12,E01000012,Barking and Dagenham 015D,E09000002,E02000016, Outer East and North East,Barking and Dagenham,34.7,9.888530000000001,2,0.8773006134969326,0.08088121186710635,0
13,E01000013,Barking and Dagenham 013A,E09000002,E02000014, Outer East and North East,Barking and Dagenham,39.0,12.8497,3,1.1411042944785275,0.28243048616802024,0
14,E01000014,Barking and Dagenham 013B,E09000002,E02000014, Outer East and North East,Barking and Dagenham,35.7,6.48471,2,0.9386503067484663,-0.40877412964991156,6
15,E01000015,Barking and Dagenham 009A,E09000002,E02000010, Outer East and North East,Barking and Dagenham,33.6,8.002180000000001,2,0.8098159509202454,-0.12879232928798506,0
16,E01000016,Barking and Dagenham 009B,E09000002,E02000010, Outer East and North East,Barking and Dagenham,32.8,5.06966,2,0.7607361963190181,-0.6698588605521,6
17,E01000017,Barking and Dagenham 009C,E09000002,E02000010, Outer East and North East,Barking and Dagenham,39.0,8.13106,2,1.1411042944785275,-0.10501324012599524,0
18,E01000018,Barking and Dagenham 009D,E09000002,E02000010, Outer East and North East,Barking and Dagenham,33.4,7.79741,2,0.7975460122699385,-0.16657355281142333,0
19,E01000019,Barking and Dagenham 023A,E09000002,E02006799, Outer East and North East,Barking and Dagenham,33.6,4.55711,1b,0.8098159509202454,-0.7644272353967462,6
20,E01000020,Barking and Dagenham 023B,E09000002,E02006799, Outer East and North East,Barking and Dagenham,36.0,6.433680000000001,2,0.9570552147239262,-0.4181894533613977,6
21,E01000021,Barking and Dagenham 008A,E09000002,E02000009, Outer East and North East,Barking and Dagenham,38.9,4.82921,1b,1.134969325153374,-0.7142232459416136,6
22,E01000022,Barking and Dagenham 008B,E09000002,E02000009, Outer East and North East,Barking and Dagenham,34.4,6.17678,2,0.8588957055214722,-0.46558895681977186,6
23,E01000023,Barking and Dagenham 008C,E09000002,E02000009, Outer East and North East,Barking and Dagenham,36.9,6.964160000000001,2,1.0122699386503065,-0.3203128920745224,0
24,E01000024,Barking and Dagenham 008D,E09000002,E02000009, Outer East and North East,Barking and Dagenham,29.3,7.40458,2,0.5460122699386503,-0.23905291031844195,6
25,E01000025,Barking and Dagenham 008E,E09000002,E02000009, Outer East and North East,Barking and Dagenham,36.7,5.60855,2,1.0,-0.5704306066841233,6
26,E01000027,Barking and Dagenham 001A,E09000002,E02000002, Outer East and North East,Barking and Dagenham,37.3,3.8262400000000003,1b,1.0368098159509198,-0.8992768854264146,6
27,E01000028,Barking and Dagenham 001B,E09000002,E02000002, Outer East and North East,Barking and Dagenham,40.1,3.01085,1b,1.2085889570552146,-1.0497209536433225,6
28,E01000029,Barking and Dagenham 001C,E09000002,E02000002, Outer East and North East,Barking and Dagenham,22.5,2.5148900000000003,1b,0.12883435582822092,-1.1412283796270328,6
29,E01000030,Barking and Dagenham 001D,E09000002,E02000002, Outer East and North East,Barking and Dagenham,38.4,4.8204199999999995,1b,1.104294478527607,-0.7158450506726338,6
30,E01000031,Barking and Dagenham 002A,E09000002,E02000003, Outer East and North East,Barking and Dagenham,22.7,3.96815,1b,0.14110429447852763,-0.8730936875448349,6
31,E01000032,Barking and Dagenham 002B,E09000002,E02000003, Outer East and North East,Barking and Dagenham,30.0,6.5524,2,0.5889570552147239,-0.39628494168145173,6
32,E01000033,Barking and Dagenham 006A,E09000002,E02000007, Outer East and North East,Barking and Dagenham,38.0,3.72911,1b,1.0797546012269936,-0.9171979199570174,6
33,E01000034,Barking and Dagenham 003A,E09000002,E02000004, Outer East and North East,Barking and Dagenham,35.9,3.50944,1b,0.9509202453987727,-0.9577282777799099,6
34,E01000035,Barking and Dagenham 010A,E09000002,E02000011, Outer East and North East,Barking and Dagenham,26.2,6.861000000000001,2,0.35582822085889565,-0.3393464957209446,6
35,E01000036,Barking and Dagenham 010B,E09000002,E02000011, Outer East and North East,Barking and Dagenham,19.3,7.23694,2,-0.08661417322834629,-0.2699834387721665,1
